"Antwort ID.. ","Datum Abgeschic.. ","Letzte Seite.. ","Start-Sprache.. ","Halten Sie die .. [SQ001]","Halten Sie die .. [SQ002]","Halten Sie die .. [SQ003]","Halten Sie die .. [SQ004]","Halten Sie die .. [SQ005]","Fehlt Ihrer Mei.. ","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","Wo recherchiere.. [SQ001]","Wo recherchiere.. [SQ002]","Wo recherchiere.. [SQ003]","Wo recherchiere.. [SQ004]","Wo recherchiere.. [other]","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","In welcher Form.. [SQ001]","In welcher Form.. [SQ002]","In welcher Form.. [SQ003]","In welcher Form.. [SQ004]","Wie publizieren.. [SQ001]","Wie publizieren.. [SQ002]","Wie publizieren.. [other]","Über welche Ka.. [SQ003]","Über welche Ka.. [SQ004]","Über welche Ka.. [SQ005]","Über welche Ka.. [SQ006]","Über welche Ka.. [other]","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","Mit wem besprec.. [1]","Mit wem besprec.. [2]","Mit wem besprec.. [3]","Mit wem besprec.. [4]","Mit wem besprec.. [5]","Mit wem besprec.. [6]","Mit wem besprec.. [other]","Wie stellen Sie.. [SQ001]","Wie stellen Sie.. [SQ002]","Wie stellen Sie.. [SQ003]","Wie stellen Sie.. [SQ004]","Wie stellen Sie.. [other]","Welche Form der.. [SQ001]","Welche Form der.. [SQ002]","Welche Form der.. [SQ003]","Welche Form der.. [SQ004]","Welche Form der.. [SQ005]","Welche Form der.. [other]","Wo legen Sie (Z.. [1]","Wo legen Sie (Z.. [2]","Wo legen Sie (Z.. [3]","Wo legen Sie (Z.. [4]","Wo legen Sie (Z.. [5]","Wo legen Sie (Z.. [6]","Wo legen Sie (Z.. [other]","Welche Geräte .. [SQ001]","Welche Geräte .. [SQ001]","Welche Geräte .. [SQ002]","Welche Geräte .. [SQ002]","Welche Geräte .. [SQ003]","Welche Geräte .. [SQ003]","Welche Geräte .. [SQ004]","Welche Geräte .. [SQ004]","Welche Geräte .. [SQ005]","Welche Geräte .. [SQ005]","In welcher Disz.. [SQ001]","In welcher Disz.. [SQ002]","In welcher Disz.. [SQ003]","In welcher Disz.. [SQ004]","In welcher Disz.. [SQ005]","In welcher Disz.. [SQ006]","In welcher Disz.. [SQ007]","In welcher Disz.. [SQ008]","In welcher Disz.. [SQ009]","In welcher Disz.. [SQ010]","In welcher Disz.. [SQ011]","In welcher Disz.. [SQ012]","In welcher Disz.. [SQ013]","In welcher Disz.. [SQ014]","In welcher Disz.. [SQ015]","In welcher Disz.. [other]","Wie lange sind .. ","Ich bin derzeit.. [SQ001]","Ich bin derzeit.. [SQ002]","Ich bin derzeit.. [SQ003]","Ich bin derzeit.. [SQ004]","Ich bin derzeit.. [SQ005]","Ich bin derzeit.. [SQ007]","Ich bin derzeit.. [other]","Wo arbeiten Sie.. [SQ001]","Wo arbeiten Sie.. [SQ002]","Wo arbeiten Sie.. [SQ003]","Wo arbeiten Sie.. [SQ004]","Wo arbeiten Sie.. [SQ005]","Wo arbeiten Sie.. [SQ006]","Wo arbeiten Sie.. [SQ007]","Wo arbeiten Sie.. [other]","Wie sind Sie au.. "
"64","1980-01-01 00:00:00","8","de","Unsicher","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MS Word","Open Office Writer","","","eher positiv","positiv","eher positiv","weiß nicht / trifft nicht zu","eher positiv","positiv","eher positiv","eher positiv","positiv","weiß nicht / trifft nicht zu","positiv","positiv","","","","","","","","","","","","","Dokumente werden schnell gespeichert und auf vielen Geräten erkannt","Dokumente können auf sämtlichen Rechnern geöffnet werden, da kostenlos.","","Nein","Ja","Ja","Nein","","Google","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OpenOffice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OpenOffice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Publiziere ich vorwiegend","Nein","Nein","","Nein","Nein","Nein","Nein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Nein","Nein","Nein","Ja","Nein","","Ja","Nein","Ja","Ja","","Nein","Nein","Ja","Ja","Nein","","Nein","Ja","Nein","Nein","Ja","Nein","","Laptop","PC","Smartphone","","Laptop","PC","Laptop","Laptop","Laptop","Laptop","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Schüler","Unter 5 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Schüler","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Schule","Historikertag"
"66","1980-01-01 00:00:00","8","de","Ja","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open office","","","","eher positiv","eher positiv","eher positiv","weiß nicht / trifft nicht zu","eher positiv","eher positiv","","","","","","","","","","","","","","","","","","","","","","Ja","Ja","Ja","Nein","","Firefox","","","","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","","","","","","","","","","","","","","","","","","","","","","Open office","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open office","Firefox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Nein","","Nein","Nein","Nein","Nein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Ja","Nein","Nein","Ja","Nein","","Ja","Nein","Nein","Ja","","Nein","Nein","Nein","Nein","Nein","","Nein","Nein","Nein","Nein","Ja","Nein","","Laptop","","Laptop","","Laptop","","Laptop","","","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Unter 5 Jahre","Ja","Nein","Nein","Nein","Nein","Nein","","Ja","Nein","Nein","Nein","Nein","Nein","Nein","","Historikertag"
"68","1980-01-01 00:00:00","8","de","Ja","Ja","Ja","Ja","Ja","Wachsend wichtig ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Internetbrowser","Word","Excellence","","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","","","","","","","Einfachheit in der Bedienung","Kompliziertheit","Ich möchte in meiner Kreativität nicht durch zu starre Schemata eingeengt werden","Ja","Ja","Ja","Ja","","Internetbrowser","Word","Excellence","Datenbanken","","","","","","","","","","","","","","","","","","","eher positiv","eher negativ","negativ","negativ","eher positiv","positiv","Erreichbarkeit, umfang","Langsamkeit, beschraenkungen","","Internetbrowser","Word","Excellence","Datenbanken","","","","","","","","","","","","","","","","","","","","","","","","","","","","Internetbrowser","Word","Excell","Citavi","","","","","","","","","","","","","","","","","","","positiv","positiv","positiv","positiv","positiv","positiv","Bedienerfreundlichkeit, Schnelligkeit, vielfach einsetzbar","","Daten anschlussfähig machen fuer andere software","Würde ich gern noch mehr publizieren","Publiziere ich vorwiegend","","","Nein","Ja","","Nein","Nein","Ja","Ja","","Word","","","","positiv","positiv","positiv","positiv","positiv","positiv","","","","","","","","","","","","","","","","","","","Einfachheit","","Veröffentlichungen mit Bildern formatieren","Nein","Ja","Ja","Ja","Nein","Nein","","Ja","Ja","Ja","Ja","","Nein","Ja","Ja","Ja","Nein","","Nein","Ja","Nein","Nein","Nein","Nein","","Laptop","","Laptop","","Laptop","","Laptop","","Laptop","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Zwischen 5 und 10 Jahre","Nein","Nein","Ja","Nein","Nein","Nein","","Nein","Ja","Nein","Nein","Nein","Nein","Nein","","Historikertag"
"69","1980-01-01 00:00:00","8","de","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Word","Adobe","Citavi","","eher positiv","eher positiv","eher positiv","positiv","positiv","eher positiv","eher positiv","eher negativ","eher positiv","eher positiv","eher positiv","eher positiv","positiv","eher positiv","eher positiv","positiv","eher positiv","eher positiv","","","","","","","","","","Ja","Ja","Ja","Ja","","Word","Adobe","Citavi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citavi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Ja","Ja","Ja","Nein","Nein","","Ja","Ja","Nein","Ja","","Nein","Nein","Nein","Ja","Ja","","Nein","Ja","Ja","Nein","Ja","Nein","","","","","","","","","","","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Zwischen 30 und 40 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","","Ja","Nein","Nein","Nein","Nein","Nein","Nein","",""
"72","1980-01-01 00:00:00","8","de","Nein","Ja","Nein","Nein","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ja","Ja","Ja","Ja","","Ms-word","Wikipedia","Deutsches digitales archiv","","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","positiv","weiß nicht / trifft nicht zu","positiv","positiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Publiziere ich vorwiegend","Publiziere ich vorwiegend","","","Nein","Ja","","Nein","Nein","Ja","Nein","Werbung durch den verlag","Ms-word","Wikipedia","Deutsches digitales archiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Ja","Nein","Ja","Nein","Nein","","Ja","Ja","Ja","Nein","","Ja","Nein","Nein","Nein","Ja","","Ja","Ja","Nein","Nein","Nein","Nein","","","","","","","","","","","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Zwischen 20 und 30 Jahre","Nein","Ja","Nein","Nein","Nein","Nein","","Ja","Nein","Nein","Nein","Ja","Nein","Nein","","Historikertag"
"74","1980-01-01 00:00:00","8","de","Ja","Ja","Ja","Ja","Unsicher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ms Word","Citavi","","","eher positiv","eher positiv","eher positiv","positiv","eher positiv","weiß nicht / trifft nicht zu","eher negativ","eher positiv","eher positiv","","eher positiv","","","","","","","","","","","","","","","","","Ja","Ja","Nein","Nein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ms word","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Nein","","Nein","Nein","Nein","Nein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Ja","Nein","Nein","Ja","Nein","","Nein","Nein","Nein","Ja","","Nein","Nein","Nein","Ja","Ja","","Nein","Ja","Nein","Nein","Nein","Nein","","Laptop","","Laptop","","Laptop","","Laptop","","Laptop","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Zwischen 5 und 10 Jahre","Ja","Nein","Nein","Nein","Nein","Nein","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Stiftung","Historikertag"
"75","1980-01-01 00:00:00","8","de","Ja","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ms Word","Ms excel","Ms powerpoint","","eher positiv","eher positiv","eher positiv","positiv","eher positiv","","eher negativ","eher positiv","positiv","positiv","eher positiv","","eher positiv","eher positiv","positiv","positiv","eher positiv","","","","","","","","","","","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ms word","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ms word","Ms excel","My sql","","","","","","","","","","","","","","positiv","positiv","positiv","eher negativ","positiv","eher positiv","","","","","","","","","","Publiziere ich vorwiegend","","Publiziere ich vorwiegend","","Ja","Ja","","Ja","Ja","Ja","Ja","","Ms word","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Ja","Nein","Ja","Nein","Nein","","Ja","Nein","Nein","Ja","","Ja","Ja","Nein","Nein","Nein","","Nein","Ja","Ja","Nein","Nein","Nein","","Laptop","","PC","","PC","","PC","","PC","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Geowissenschaften, Zoologie, wissenschaftgeschichte","","Nein","Ja","Nein","Nein","Nein","Nein","","Ja","Ja","Nein","Ja","Nein","Nein","Nein","","Historikertag"
"76","1980-01-01 00:00:00","8","de","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MS Word","Zotero","","","eher positiv","eher positiv","eher positiv","positiv","positiv","positiv","positiv","positiv","eher positiv","eher negativ","eher positiv","eher positiv","","","","","","","","","","","","","","","","Ja","Ja","Ja","Nein","","Bibliothekskatalog","KVK","","","eher negativ","eher negativ","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","positiv","eher positiv","eher positiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zotero","","","","eher positiv","eher positiv","eher positiv","eher negativ","eher positiv","eher positiv","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Nein","Nein","Ja","Ja","Ja","","Ja","Nein","Ja","Nein","","Nein","Nein","Ja","Ja","Nein","","Nein","Ja","Nein","Nein","Ja","Ja","","Laptop","Tablet","Laptop","Tablet","Laptop","Tablet","Laptop","Tablet","Laptop","Tablet","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Zwischen 5 und 10 Jahre","Ja","Nein","Nein","Nein","Nein","Nein","","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Max Weber Stiftung","Historikertag"
"77","1980-01-01 00:00:00","8","de","Ja","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Microsoft Office","citavi","Twitter","","eher positiv","positiv","eher negativ","positiv","eher negativ","eher positiv","positiv","positiv","eher negativ","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","positiv","eher negativ","eher positiv","positiv","","","","","","","","","","Ja","Ja","Ja","Ja","","Citavi","","","","positiv","positiv","eher positiv","eher negativ","eher positiv","eher positiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Microsoft Word","","","","eher positiv","positiv","eher positiv","eher positiv","eher negativ","eher negativ","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Nein","","Nein","Nein","Nein","Nein","","Microsoft Office","Adobe Suite","","","eher positiv","eher positiv","eher negativ","eher positiv","eher positiv","eher positiv","eher negativ","positiv","eher negativ","negativ","positiv","eher positiv","","","","","","","","","","","","","","","","Nein","Nein","Ja","Ja","Ja","Ja","","Ja","Ja","Ja","Ja","","Ja","Ja","Ja","Ja","Ja","Online- bzw. Videotutorials","Nein","Ja","Ja","Nein","Ja","Nein","","Laptop","Tablet","PC","","Laptop","PC","PC","Laptop","PC","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Zwischen 5 und 10 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","","Ja","Ja","Nein","Nein","Nein","Nein","Nein","","Historikertag"
"78","1980-01-01 00:00:00","8","de","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ja","Ja","Nein","Nein","","Digimagazine","Google Books","Excel","Word","positiv","positiv","positiv","eher positiv","eher positiv","eher positiv","positiv","positiv","positiv","positiv","positiv","positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","eher positiv","","","","Ms word","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Ja","Nein","Ja","Nein","Nein","","Ja","Nein","Nein","Nein","","Nein","Nein","Nein","Ja","Nein","","Nein","Nein","Nein","Nein","Ja","Nein","","Laptop","Smartphone","Laptop","Smartphone","Laptop","","Laptop","","","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Unter 5 Jahre","Ja","Nein","Nein","Nein","Nein","Nein","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Max weber Stiftung","Historikertag"
"81","","0","de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"82","","4","de","Ja","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open Office","Adobe Acrobat Reader","","","positiv","eher positiv","positiv","weiß nicht / trifft nicht zu","positiv","positiv","positiv","eher negativ","positiv","eher positiv","positiv","positiv","","","","","","","","","","","","","","","","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open Office","","","","positiv","eher positiv","positiv","weiß nicht / trifft nicht zu","positiv","positiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"83","","0","de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"84","","3","de","Ja","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open Office","Word","","","eher positiv","eher positiv","positiv","eher positiv","eher positiv","eher positiv","positiv","positiv","eher positiv","positiv","eher negativ","eher positiv","","","","","","","","","","","","","","","","Ja","Ja","Ja","Nein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
